"text","label"
"아니, 이거 완전 물건인데?","0"
"이게, 아니, 어떻게 이런 맛이 나?","0"
"아니, 너 오늘 왜 이렇게 멋져?","0"
"이거 혹시, 아니, 나 주려고 산 거야?","0"
"아니, 그냥 보고만 있어도 흐뭇하네.","0"
"대단하다, 아니, 진짜 대단해.","0"
"아니, 밥은 먹고 다니냐?","0"
"너, 아니, 이런 것도 할 줄 알아?","0"
"아니, 세상에 이런 일이.","0"
"이거, 아니, 공짜라고?","0"
"아니, 그냥 한번 해 본 소리야.","0"
"너 혹시, 아니, 내 생각했어?","0"
"아니, 이 영화는 꼭 봐야 해.","0"
"이 집, 아니, 찐맛집이네.","0"
"아니, 그래서 다음엔 뭐 할 건데?","0"
"너도, 아니, 같은 생각이지?","0"
"아니, 그냥 웃겨서.","0"
"이거, 아니, 너무 감동이잖아.","0"
"아니, 날씨가 미쳤네.","0"
"아니, 어떻게 이걸 잊어버려? (가벼운 타박)","0"
"아니, 웬일로 일찍 왔어?","0"
"이거, 아니, 네가 찾던 거 아니야?","0"
"아니, 그냥 그렇다고.","0"
"아니, 목소리 듣고 싶어서 전화했어.","0"
"아니, 이걸 다 먹으라고? (놀람)","0"
"아니, 넌 모르는 게 뭐야?","0"
"아니, 그냥 궁금해서.","0"
"아니, 그래서 결론이 뭔데?","0"
"이건, 아니, 반칙이지. (너무 좋아서)","0"
"아니, 넌 또 왜 그래? (관심)","0"
"아니, 그냥 예뻐서 샀어.","0"
"아니, 피곤한데 자야지. (당연함)","0"
"너 혹시, 아니, 뭐 숨기는 거 있어? (호기심)","0"
"아니, 진짜가?","0"
"이거, 아니, 내가 알던 게 아닌데? (새로움)","0"
"아니, 그래서 어쨌다고?","0"
"아니, 말이 그렇다는 거지.","0"
"아니, 그냥 보고 싶었어.","0"
"이거, 아니, 네가 만든 거야?","0"
"아니, 이 시간에 웬일이야?","0"
"아니, 그렇게 웃지 좀 마. (긍정적)","0"
"아니, 넌 가만히만 있어도 웃겨.","0"
"아니, 그래서 우리 사귀는 거지?","0"
"아니, 뭐 이런 걸 다. (고마움)","0"
"아니, 그냥.","0"
"이거, 아니, 완전 내 취향이네.","0"
"아니, 그냥 좀 쉬고 싶어서.","0"
"아니, 그래서 다음은?","0"
"아니, 진짜 고마워.","0"
"아니, 그냥 그렇다는 거야.","0"
"아니, 그건 절대 안 되지.","1"
"아니, 난 싫다고 했어.","1"
"너, 아니, 지금 나한테 화내는 거야?","1"
"아니, 그런 식으로 말하지 마.","1"
"이건, 아니, 네가 잘못한 거야.","1"
"아니, 그만 좀 해.","1"
"아니, 내 말 안 들려?","1"
"이건, 아니, 약속이랑 다르잖아.","1"
"아니, 무슨 그런 섭섭한 소리를.","1"
"아니, 내가 언제 그랬어?","1"
"아니, 됐거든.","1"
"이거, 아니, 먹기 싫어.","1"
"아니, 넌 왜 맨날 그 모양이야?","1"
"아니, 그게 아니라.","1"
"아니, 다시 생각해 봐.","1"
"아니, 그건 좀 아니지 않아?","1"
"내 말 좀 들어, 아니.","1"
"아니, 지금 나가야 한다고.","1"
"아니, 나 빼고 정한 거야?","1"
"이건 좀, 아니, 많이 별로다.","1"
"아니, 자꾸 말 돌리지 마.","1"
"아니, 너 진짜 왜 이래?","1"
"아니, 그건 네 사정이고.","1"
"아니, 이해가 안 되네.","1"
"시끄럽다고, 아니.","1"
"아니, 지금 그게 중요해?","1"
"아니, 나한테 이러지 마.","1"
"아니, 그런 뜻으로 말한 거 아니야.","1"
"아니, 난 못 가.","1"
"이거, 아니, 내가 하려던 거 아니야.","1"
"아니, 기분 나쁘니까 그만해.","1"
"아니, 넌 빠져.","1"
"아니, 내 말이 틀려?","1"
"아니, 그건 핑계일 뿐이야.","1"
"아니, 전혀 공감이 안 돼.","1"
"아니, 그런 건 필요 없어.","1"
"너, 아니, 아직도 정신 못 차렸어?","1"
"아니, 나한테 묻지 마.","1"
"아니, 넌 항상 그런 식이야.","1"
"아니, 그건 네가 알아서 해.","1"
"아니, 오늘은 안 되겠어.","1"
"아니, 왜 나한테만 그래?","1"
"아니, 그건 아니지.","1"
"아니, 두 번 말하게 하지 마.","1"
"이건, 아니, 명백한 잘못이야.","1"
"아니, 난 관심 없어.","1"
"아니, 지금 뭐 하자는 거야?","1"
"아니, 그건 곤란해.","1"
"아니, 더 이상은 못 참아.","1"
"아니, 난 안 믿어.","1"
"이거, 아니, 그냥 너 가져.","0"
"날씨가, 아니, 이건 거의 여름이네.","0"
"너, 아니, 어쩜 이렇게 착해?","0"
"밥은 먹었어? 아니, 그냥 궁금해서.","0"
"이 노래, 아니, 너무 좋지 않아?","0"
"아니, 이게 얼마 만이야!","0"
"너 혹시, 아니, 천사 아니야?","0"
"이건 뭐, 아니, 말도 안 되는 가격이네.","0"
"아니, 그래서 우리 여행 가는 거지?","0"
"너 진짜, 아니, 최고다.","0"
"아니, 그냥 보고 싶어서 왔어.","0"
"이 케이크, 아니, 누가 샀어? (감동)","0"
"아니, 너도 이걸 좋아했어?","0"
"아니, 뭐해? (반가움)","0"
"이건, 아니, 꼭 먹어봐야 해.","0"
"너의, 아니, 그 마음이 고마워.","0"
"아니, 그냥 네가 좋아서 그래.","0"
"이 풍경, 아니, 정말 그림 같다.","0"
"아니, 그냥. (별일 없음)","0"
"아니, 그래서 내일 시간 돼?","0"
"너, 아니, 혹시 내일 뭐해?","0"
"이거, 아니, 내가 찾던 바로 그 색깔이야.","0"
"아니, 깜짝이야!","0"
"너 때문에, 아니, 내가 힘이 나.","0"
"아니, 그냥 한번 와봤어.","0"
"아니, 그냥 네 생각이 나서.","0"
"이거, 아니, 진짜 맛있다.","0"
"아니, 넌 어쩜 그리 말을 예쁘게 해?","0"
"아니, 세상에, 이걸 어떻게 다 했어?","0"
"그냥, 아니, 네가 보고 싶었다고.","0"
"아니, 그래서 말인데, 나 좀 도와줄래?","0"
"아니, 이 시간에 웬일이야? (반가움)","0"
"이거, 아니, 너무 귀여운 거 아니야?","0"
"아니, 그래서, 다음 계획은?","0"
"아니, 넌 못하는 게 뭐니?","0"
"아니, 그냥, 고맙다고.","0"
"아니, 그래서 우리 언제 만나?","0"
"너, 아니, 정말 대단하다.","0"
"아니, 그냥 목소리 듣고 싶었어.","0"
"이거, 아니, 완전 내 스타일인데?","0"
"아니, 그냥, 다 좋아.","0"
"너, 아니, 혹시 시간 괜찮아?","0"
"아니, 그냥, 네가 생각나서.","0"
"이거, 아니, 진짜 감동이다.","0"
"아니, 그냥, 한번 해봤어.","0"
"너, 아니, 정말 괜찮은 사람 같아.","0"
"아니, 그냥, 예뻐 보여서.","0"
"아니, 그래서, 내 말은.","0"
"아니, 그냥, 좋아서.","0"
"아니, 그냥, 궁금해서 물어봤어.","0"
"이건 좀, 아니, 네가 너무 심했어.","1"
"아니, 난 그거 싫어.","1"
"너, 아니, 지금 나랑 장난해?","1"
"내 말 들어봐, 아니, 그게 아니라고.","1"
"아니, 넌 왜 맨날 그런 식이야?","1"
"이거, 아니, 내가 원하던 게 아니야.","1"
"아니, 그런 식으로 말하면 내가 뭐가 돼?","1"
"너, 아니, 진짜 너무한다.","1"
"아니, 난 못해.","1"
"그게, 아니, 말이 된다고 생각해?","1"
"아니, 지금 그게 문제야?","1"
"너, 아니, 왜 내 말을 못 믿어?","1"
"아니, 난 동의 못 해.","1"
"이건, 아니, 명백히 네 잘못이야.","1"
"아니, 됐어, 그만 말해.","1"
"너, 아니, 지금 나 무시하는 거야?","1"
"아니, 난 그렇게 생각 안 해.","1"
"이건, 아니, 진짜 아니다.","1"
"아니, 넌 왜 항상 네 생각만 해?","1"
"아니, 그건 네가 책임져야지.","1"
"아니, 난 가기 싫어.","1"
"너, 아니, 어제 왜 전화 안 받았어?","1"
"아니, 그건 곤란합니다.","1"
"이건, 아니, 내가 하려던 말이 아니야.","1"
"아니, 자꾸 왜 이래?","1"
"아니, 난 그런 적 없어.","1"
"너, 아니, 아직도 모르겠어?","1"
"아니, 그건 변명일 뿐이야.","1"
"아니, 난 네가 이해가 안 가.","1"
"이건, 아니, 너무하잖아.","1"
